Date,Open,High,Low,Close,Volume,Ticker,Sector,Country
2025-04-01 00:00:00+02:00,5270.25,5328.91015625,5270.25,5320.2998046875,22613300,^STOXX50E,Index,Europe
2025-04-02 00:00:00+02:00,5312.56005859375,5312.56005859375,5255.9501953125,5303.9501953125,21353800,^STOXX50E,Index,Europe
2025-04-03 00:00:00+02:00,5255.10986328125,5255.10986328125,5104.35009765625,5113.27978515625,39996800,^STOXX50E,Index,Europe
2025-04-04 00:00:00+02:00,5094.7900390625,5094.7900390625,4825.7001953125,4878.31005859375,71980100,^STOXX50E,Index,Europe
2025-04-07 00:00:00+02:00,4861.16015625,4902.990234375,4540.22021484375,4656.41015625,76388500,^STOXX50E,Index,Europe
2025-04-08 00:00:00+02:00,4700.3701171875,4826.68017578125,4669.9501953125,4773.64990234375,43434700,^STOXX50E,Index,Europe
2025-04-09 00:00:00+02:00,4705.91015625,4708.14013671875,4569.509765625,4622.14013671875,44888000,^STOXX50E,Index,Europe
2025-04-10 00:00:00+02:00,4631.3701171875,4987.6201171875,4631.3701171875,4818.919921875,45707700,^STOXX50E,Index,Europe
2025-04-11 00:00:00+02:00,4841.64013671875,4870.97021484375,4728.52978515625,4787.22998046875,29758300,^STOXX50E,Index,Europe
2025-04-14 00:00:00+02:00,4828.56005859375,4936.1201171875,4828.56005859375,4911.39013671875,27662300,^STOXX50E,Index,Europe
2025-04-15 00:00:00+02:00,4915.47021484375,4977.490234375,4913.72998046875,4970.43017578125,32396600,^STOXX50E,Index,Europe
2025-04-16 00:00:00+02:00,4956.14990234375,4967.08984375,4891.10986328125,4966.5,25368200,^STOXX50E,Index,Europe
2025-04-17 00:00:00+02:00,4966.759765625,4970.68017578125,4922.2001953125,4935.33984375,23454900,^STOXX50E,Index,Europe
2025-04-22 00:00:00+02:00,4919.759765625,4961.4501953125,4894.2998046875,4961.4501953125,24478700,^STOXX50E,Index,Europe
2025-04-23 00:00:00+02:00,4972.509765625,5123.64013671875,4972.509765625,5098.740234375,35301900,^STOXX50E,Index,Europe
2025-04-24 00:00:00+02:00,5080.58984375,5116.330078125,5043.4501953125,5114.97998046875,26216600,^STOXX50E,Index,Europe
2025-04-25 00:00:00+02:00,5121.35009765625,5167.18017578125,5121.35009765625,5154.1201171875,20857500,^STOXX50E,Index,Europe
2025-04-01 00:00:00+01:00,8582.7998046875,8671.900390625,8581.900390625,8634.7998046875,682410100,^FTSE,Index,Europe
2025-04-02 00:00:00+01:00,8634.7998046875,8634.7998046875,8548.2998046875,8608.5,601417800,^FTSE,Index,Europe
2025-04-03 00:00:00+01:00,8608.5,8608.5,8453.2001953125,8474.7001953125,1403210800,^FTSE,Index,Europe
2025-04-04 00:00:00+01:00,8474.7001953125,8474.7001953125,8023.5,8055.0,1572146400,^FTSE,Index,Europe
2025-04-07 00:00:00+01:00,8055.0,8055.0,7544.7998046875,7702.10009765625,2001791200,^FTSE,Index,Europe
2025-04-08 00:00:00+01:00,7702.10009765625,7984.2001953125,7702.10009765625,7910.5,1346508600,^FTSE,Index,Europe
2025-04-09 00:00:00+01:00,7910.5,7910.5,7599.60009765625,7679.5,1348496400,^FTSE,Index,Europe
2025-04-10 00:00:00+01:00,7679.5,8166.5,7679.5,7913.2998046875,1430098700,^FTSE,Index,Europe
2025-04-11 00:00:00+01:00,7913.2998046875,8000.7998046875,7862.7001953125,7964.2001953125,1328746600,^FTSE,Index,Europe
2025-04-14 00:00:00+01:00,7964.2001953125,8160.2001953125,7964.2001953125,8134.2998046875,712694800,^FTSE,Index,Europe
2025-04-15 00:00:00+01:00,8134.2998046875,8257.7998046875,8134.0,8249.099609375,830488500,^FTSE,Index,Europe
2025-04-16 00:00:00+01:00,8249.099609375,8281.099609375,8177.0,8275.599609375,804660100,^FTSE,Index,Europe
2025-04-17 00:00:00+01:00,8275.599609375,8295.099609375,8195.7001953125,8275.7001953125,735769800,^FTSE,Index,Europe
2025-04-22 00:00:00+01:00,8275.7001953125,8337.7001953125,8262.5,8328.599609375,1042190300,^FTSE,Index,Europe
2025-04-23 00:00:00+01:00,8328.599609375,8467.7998046875,8328.2998046875,8403.2001953125,1043916400,^FTSE,Index,Europe
2025-04-24 00:00:00+01:00,8403.2001953125,8415.099609375,8361.7998046875,8407.400390625,1126605500,^FTSE,Index,Europe
2025-04-25 00:00:00+01:00,8407.400390625,8442.7001953125,8397.099609375,8415.2998046875,802734000,^FTSE,Index,Europe
